ts,index_record,heading,lat,lng,positionTime,h_positionTime,h_receiveTime
1622119844873,0,26,21.03023,105.78133,1622119835,2021-05-27 19:50:35,2021-05-27 19:50:44
1622119844873,1,26,21.03023,105.78133,1622119836,2021-05-27 19:50:36,2021-05-27 19:50:44
1622119844873,2,26,21.03023,105.78134,1622119837,2021-05-27 19:50:37,2021-05-27 19:50:44
1622119844873,3,26,21.03024,105.78134,1622119838,2021-05-27 19:50:38,2021-05-27 19:50:44
1622119844873,4,26,21.03023,105.78134,1622119839,2021-05-27 19:50:39,2021-05-27 19:50:44
1622119844873,5,26,21.03023,105.78134,1622119840,2021-05-27 19:50:40,2021-05-27 19:50:44
1622119852895,0,18,21.03021,105.7813,1622119845,2021-05-27 19:50:45,2021-05-27 19:50:52
1622119852895,1,18,21.03021,105.7813,1622119846,2021-05-27 19:50:46,2021-05-27 19:50:52
1622119852895,2,38,21.03022,105.7813,1622119847,2021-05-27 19:50:47,2021-05-27 19:50:52
1622119852895,3,48,21.03022,105.78132,1622119848,2021-05-27 19:50:48,2021-05-27 19:50:52
1622119852895,4,55,21.03023,105.7813,1622119849,2021-05-27 19:50:49,2021-05-27 19:50:52
1622119852895,5,57,21.03024,105.7813,1622119850,2021-05-27 19:50:50,2021-05-27 19:50:52
1622119852895,6,57,21.03025,105.78133,1622119851,2021-05-27 19:50:51,2021-05-27 19:50:52
1622119852895,7,57,21.03025,105.78133,1622119852,2021-05-27 19:50:52,2021-05-27 19:50:52
1622119860957,0,57,21.03026,105.78131,1622119853,2021-05-27 19:50:53,2021-05-27 19:51:00
1622119860957,1,59,21.03027,105.78131,1622119854,2021-05-27 19:50:54,2021-05-27 19:51:00
1622119860957,2,76,21.03031,105.78133,1622119855,2021-05-27 19:50:55,2021-05-27 19:51:00
1622119860957,3,86,21.03033,105.78133,1622119856,2021-05-27 19:50:56,2021-05-27 19:51:00
1622119860957,4,88,21.03035,105.7813,1622119857,2021-05-27 19:50:57,2021-05-27 19:51:00
1622119860957,5,92,21.03039,105.7813,1622119858,2021-05-27 19:50:58,2021-05-27 19:51:00
1622119860957,6,93,21.03044,105.78128,1622119859,2021-05-27 19:50:59,2021-05-27 19:51:00
1622119860957,7,92,21.0305,105.78125,1622119860,2021-05-27 19:51:00,2021-05-27 19:51:00
1622119868900,0,94,21.03055,105.78126,1622119861,2021-05-27 19:51:01,2021-05-27 19:51:08
1622119868900,1,97,21.03061,105.78127,1622119862,2021-05-27 19:51:02,2021-05-27 19:51:08
1622119868900,2,97,21.03067,105.78126,1622119863,2021-05-27 19:51:03,2021-05-27 19:51:08
1622119868900,3,99,21.03072,105.78126,1622119864,2021-05-27 19:51:04,2021-05-27 19:51:08
1622119868900,4,101,21.03079,105.78126,1622119865,2021-05-27 19:51:05,2021-05-27 19:51:08
1622119868900,5,104,21.03085,105.78127,1622119866,2021-05-27 19:51:06,2021-05-27 19:51:08
1622119868900,6,1,21.03091,105.78128,1622119867,2021-05-27 19:51:07,2021-05-27 19:51:08
1622119868900,7,2,21.03096,105.78128,1622119868,2021-05-27 19:51:08,2021-05-27 19:51:08
1622119876931,0,3,21.031,105.7813,1622119869,2021-05-27 19:51:09,2021-05-27 19:51:16
1622119876931,1,4,21.03105,105.7813,1622119870,2021-05-27 19:51:10,2021-05-27 19:51:16
1622119876931,2,4,21.03109,105.7813,1622119871,2021-05-27 19:51:11,2021-05-27 19:51:16
1622119876931,3,3,21.03112,105.78131,1622119872,2021-05-27 19:51:12,2021-05-27 19:51:16
1622119876931,4,0,21.03115,105.78137,1622119873,2021-05-27 19:51:13,2021-05-27 19:51:16
1622119876931,5,101,21.03117,105.78142,1622119874,2021-05-27 19:51:14,2021-05-27 19:51:16
1622119876931,6,94,21.0312,105.78145,1622119875,2021-05-27 19:51:15,2021-05-27 19:51:16
1622119876931,7,78,21.03123,105.78145,1622119876,2021-05-27 19:51:16,2021-05-27 19:51:16
1622119884918,0,51,21.03124,105.78141,1622119877,2021-05-27 19:51:17,2021-05-27 19:51:24
1622119884918,1,38,21.03126,105.78138,1622119878,2021-05-27 19:51:18,2021-05-27 19:51:24
1622119884918,2,32,21.03127,105.78134,1622119879,2021-05-27 19:51:19,2021-05-27 19:51:24
1622119884918,3,28,21.03128,105.7813,1622119880,2021-05-27 19:51:20,2021-05-27 19:51:24
1622119884918,4,26,21.03129,105.78126,1622119881,2021-05-27 19:51:21,2021-05-27 19:51:24
1622119884918,5,26,21.0313,105.7812,1622119882,2021-05-27 19:51:22,2021-05-27 19:51:24
1622119884918,6,22,21.0313,105.78116,1622119883,2021-05-27 19:51:23,2021-05-27 19:51:24
1622119884918,7,21,21.03131,105.78108,1622119884,2021-05-27 19:51:24,2021-05-27 19:51:24
1622119892907,0,20,21.03132,105.78102,1622119885,2021-05-27 19:51:25,2021-05-27 19:51:32
1622119892907,1,20,21.03133,105.78095,1622119886,2021-05-27 19:51:26,2021-05-27 19:51:32
1622119892907,2,20,21.03133,105.78097,1622119887,2021-05-27 19:51:27,2021-05-27 19:51:32
1622119892907,3,17,21.03132,105.78092,1622119888,2021-05-27 19:51:28,2021-05-27 19:51:32
1622119892907,4,14,21.03131,105.78087,1622119889,2021-05-27 19:51:29,2021-05-27 19:51:32
1622119892907,5,11,21.0313,105.7808,1622119890,2021-05-27 19:51:30,2021-05-27 19:51:32
1622119892907,6,9,21.03129,105.78073,1622119891,2021-05-27 19:51:31,2021-05-27 19:51:32
1622119892907,7,10,21.0313,105.78069,1622119892,2021-05-27 19:51:32,2021-05-27 19:51:32
1622119900887,0,10,21.03128,105.78063,1622119893,2021-05-27 19:51:33,2021-05-27 19:51:40
1622119900887,1,13,21.0313,105.78056,1622119894,2021-05-27 19:51:34,2021-05-27 19:51:40
1622119900887,2,15,21.03131,105.78049,1622119895,2021-05-27 19:51:35,2021-05-27 19:51:40
1622119900887,3,15,21.03131,105.78042,1622119896,2021-05-27 19:51:36,2021-05-27 19:51:40
1622119900887,4,14,21.0313,105.78036,1622119897,2021-05-27 19:51:37,2021-05-27 19:51:40
1622119900887,5,15,21.03131,105.7803,1622119898,2021-05-27 19:51:38,2021-05-27 19:51:40
1622119900887,6,16,21.03132,105.78024,1622119899,2021-05-27 19:51:39,2021-05-27 19:51:40
1622119900887,7,16,21.03132,105.7802,1622119900,2021-05-27 19:51:40,2021-05-27 19:51:40
1622119908872,0,25,21.03137,105.78014,1622119901,2021-05-27 19:51:41,2021-05-27 19:51:48
1622119908872,1,38,21.03141,105.78017,1622119902,2021-05-27 19:51:42,2021-05-27 19:51:48
1622119908872,2,47,21.03146,105.78017,1622119903,2021-05-27 19:51:43,2021-05-27 19:51:48
1622119908872,3,55,21.0315,105.78015,1622119904,2021-05-27 19:51:44,2021-05-27 19:51:48
1622119908872,4,72,21.03154,105.78014,1622119905,2021-05-27 19:51:45,2021-05-27 19:51:48
1622119908872,5,91,21.03159,105.78012,1622119906,2021-05-27 19:51:46,2021-05-27 19:51:48
1622119908872,6,99,21.03164,105.78011,1622119907,2021-05-27 19:51:47,2021-05-27 19:51:48
1622119908872,7,2,21.03169,105.7801,1622119908,2021-05-27 19:51:48,2021-05-27 19:51:48
1622119916868,0,8,21.03175,105.78009,1622119909,2021-05-27 19:51:49,2021-05-27 19:51:56
1622119916868,1,9,21.03181,105.78009,1622119910,2021-05-27 19:51:50,2021-05-27 19:51:56
1622119916868,2,8,21.03188,105.78009,1622119911,2021-05-27 19:51:51,2021-05-27 19:51:56
1622119916868,3,8,21.03194,105.78009,1622119912,2021-05-27 19:51:52,2021-05-27 19:51:56
1622119916868,4,8,21.03202,105.78008,1622119913,2021-05-27 19:51:53,2021-05-27 19:51:56
1622119916868,5,8,21.03209,105.78008,1622119914,2021-05-27 19:51:54,2021-05-27 19:51:56
1622119916868,6,8,21.03217,105.78009,1622119915,2021-05-27 19:51:55,2021-05-27 19:51:56
1622119916868,7,9,21.03225,105.78009,1622119916,2021-05-27 19:51:56,2021-05-27 19:51:56
