ts,heading,height,lat,lng,positionTime,speed,h_positionTime,h_receiveTime
1622119847071,18,24,21.03021,105.7813,1622119846,8,2021-05-27 19:50:46,2021-05-27 19:50:47
1622119855490,59,29,21.03027,105.78131,1622119854,18,2021-05-27 19:50:54,2021-05-27 19:50:55
1622119863744,97,12,21.03061,105.78127,1622119862,21,2021-05-27 19:51:02,2021-05-27 19:51:03
1622119871266,4,-10,21.03105,105.7813,1622119870,21,2021-05-27 19:51:10,2021-05-27 19:51:11
1622119879772,38,15,21.03126,105.78138,1622119878,25,2021-05-27 19:51:18,2021-05-27 19:51:19
1622119888287,20,16,21.03133,105.78097,1622119887,29,2021-05-27 19:51:27,2021-05-27 19:51:28
1622119896337,15,8,21.03131,105.78049,1622119895,29,2021-05-27 19:51:35,2021-05-27 19:51:36
1622119904886,55,9,21.0315,105.78015,1622119904,25,2021-05-27 19:51:44,2021-05-27 19:51:44
1622119913322,8,1,21.03194,105.78009,1622119912,27,2021-05-27 19:51:52,2021-05-27 19:51:53
1622119921787,8,4,21.03256,105.78012,1622119920,31,2021-05-27 19:52:00,2021-05-27 19:52:01
1622119929856,8,5,21.0333,105.78021,1622119929,34,2021-05-27 19:52:09,2021-05-27 19:52:09
1622119938666,8,4,21.03401,105.78033,1622119937,36,2021-05-27 19:52:17,2021-05-27 19:52:18
1622119946096,9,4,21.03471,105.78045,1622119945,36,2021-05-27 19:52:25,2021-05-27 19:52:26
1622119954632,9,2,21.0354,105.78058,1622119953,35,2021-05-27 19:52:33,2021-05-27 19:52:34
1622119962810,13,2,21.0359,105.78065,1622119961,30,2021-05-27 19:52:41,2021-05-27 19:52:42
1622119971238,66,1,21.0362,105.78051,1622119970,21,2021-05-27 19:52:50,2021-05-27 19:52:51
1622119979848,188,2,21.0356,105.78033,1622119978,36,2021-05-27 19:52:58,2021-05-27 19:52:59
1622119988388,191,4,21.03476,105.78017,1622119987,40,2021-05-27 19:53:07,2021-05-27 19:53:08
1622119996513,189,5,21.03394,105.78001,1622119995,42,2021-05-27 19:53:15,2021-05-27 19:53:16
1622120004172,189,5,21.03315,105.77988,1622120003,42,2021-05-27 19:53:23,2021-05-27 19:53:24
1622120012730,186,6,21.0324,105.77979,1622120011,47,2021-05-27 19:53:31,2021-05-27 19:53:32
1622120020131,190,7,21.03145,105.77965,1622120019,49,2021-05-27 19:53:39,2021-05-27 19:53:40
1622120029370,188,8,21.03042,105.77946,1622120028,48,2021-05-27 19:53:48,2021-05-27 19:53:49
1622120037846,188,14,21.02925,105.77931,1622120037,57,2021-05-27 19:53:57,2021-05-27 19:53:57
1622120046319,189,14,21.02811,105.77911,1622120045,60,2021-05-27 19:54:05,2021-05-27 19:54:06
1622120054875,189,14,21.02672,105.77888,1622120054,65,2021-05-27 19:54:14,2021-05-27 19:54:14
1622120063057,187,14,21.0254,105.77866,1622120062,69,2021-05-27 19:54:22,2021-05-27 19:54:23
1622120072053,176,14,21.02402,105.77862,1622120070,72,2021-05-27 19:54:30,2021-05-27 19:54:32
1622120080645,164,14,21.0224,105.77892,1622120079,74,2021-05-27 19:54:39,2021-05-27 19:54:40
1622120088237,152,13,21.02108,105.7795,1622120087,73,2021-05-27 19:54:47,2021-05-27 19:54:48
1622120097343,143,15,21.01976,105.78044,1622120096,71,2021-05-27 19:54:56,2021-05-27 19:54:57
1622120105852,143,15,21.01867,105.78134,1622120104,69,2021-05-27 19:55:04,2021-05-27 19:55:05
1622120114292,143,16,21.01745,105.78232,1622120113,68,2021-05-27 19:55:13,2021-05-27 19:55:14
1622120122775,142,19,21.01636,105.78317,1622120121,70,2021-05-27 19:55:21,2021-05-27 19:55:22
1622120130954,143,21,21.01506,105.78423,1622120130,77,2021-05-27 19:55:30,2021-05-27 19:55:30
1622120139662,143,21,21.0138,105.78525,1622120138,82,2021-05-27 19:55:38,2021-05-27 19:55:39
1622120147112,143,22,21.01248,105.78632,1622120146,84,2021-05-27 19:55:46,2021-05-27 19:55:47
1622120155607,144,22,21.01124,105.7873,1622120154,82,2021-05-27 19:55:54,2021-05-27 19:55:55
1622120164110,144,22,21.01006,105.78821,1622120163,68,2021-05-27 19:56:03,2021-05-27 19:56:04
1622120172674,144,22,21.0092,105.78886,1622120171,56,2021-05-27 19:56:11,2021-05-27 19:56:12
1622120180122,143,19,21.00846,105.78947,1622120179,49,2021-05-27 19:56:19,2021-05-27 19:56:20
1622120188556,144,17,21.00764,105.79012,1622120187,52,2021-05-27 19:56:27,2021-05-27 19:56:28
1622120195928,144,16,21.00693,105.79065,1622120195,46,2021-05-27 19:56:35,2021-05-27 19:56:35
1622120204115,146,15,21.00638,105.79106,1622120203,34,2021-05-27 19:56:43,2021-05-27 19:56:44
1622120212578,175,14,21.00567,105.79136,1622120211,45,2021-05-27 19:56:51,2021-05-27 19:56:52
1622120220003,222,10,21.00486,105.79105,1622120219,46,2021-05-27 19:56:59,2021-05-27 19:57:00
1622120228723,232,9,21.00419,105.79018,1622120227,61,2021-05-27 19:57:07,2021-05-27 19:57:08
1622120236844,240,9,21.00351,105.78909,1622120235,65,2021-05-27 19:57:15,2021-05-27 19:57:16
1622120245333,251,9,21.00287,105.7876,1622120244,76,2021-05-27 19:57:24,2021-05-27 19:57:25
1622120253786,7,7,21.00252,105.78599,1622120252,80,2021-05-27 19:57:32,2021-05-27 19:57:33
1622120262437,17,5,21.00246,105.78414,1622120261,80,2021-05-27 19:57:41,2021-05-27 19:57:42
1622120270459,25,5,21.00262,105.78275,1622120269,69,2021-05-27 19:57:49,2021-05-27 19:57:50
1622120277853,27,4,21.00284,105.78159,1622120276,64,2021-05-27 19:57:56,2021-05-27 19:57:57
1622120286411,16,3,21.00299,105.78009,1622120285,64,2021-05-27 19:58:05,2021-05-27 19:58:06
1622120294824,26,3,21.0032,105.77866,1622120293,75,2021-05-27 19:58:13,2021-05-27 19:58:14
1622120302990,26,3,21.00354,105.77682,1622120302,85,2021-05-27 19:58:22,2021-05-27 19:58:22
1622120311509,27,6,21.00392,105.77501,1622120310,90,2021-05-27 19:58:30,2021-05-27 19:58:31
1622120318910,27,11,21.00433,105.77313,1622120318,92,2021-05-27 19:58:38,2021-05-27 19:58:38
1622120327651,27,8,21.00475,105.77118,1622120326,98,2021-05-27 19:58:46,2021-05-27 19:58:47
1622120335801,27,6,21.00517,105.76914,1622120334,99,2021-05-27 19:58:54,2021-05-27 19:58:55
1622120344321,26,3,21.00563,105.7669,1622120343,98,2021-05-27 19:59:03,2021-05-27 19:59:04
1622120352771,27,2,21.006,105.76512,1622120351,88,2021-05-27 19:59:11,2021-05-27 19:59:12
1622120361311,29,3,21.00632,105.7636,1622120360,74,2021-05-27 19:59:20,2021-05-27 19:59:21
1622120369494,29,6,21.00651,105.76278,1622120368,43,2021-05-27 19:59:28,2021-05-27 19:59:29
1622120376874,27,3,21.00665,105.76204,1622120376,38,2021-05-27 19:59:36,2021-05-27 19:59:36
1622120385385,27,2,21.00681,105.76127,1622120384,41,2021-05-27 19:59:44,2021-05-27 19:59:45
1622120393463,28,1,21.007,105.76035,1622120392,49,2021-05-27 19:59:52,2021-05-27 19:59:53
1622120401847,27,0,21.00722,105.75932,1622120400,52,2021-05-27 20:00:00,2021-05-27 20:00:01
1622120409202,29,0,21.00748,105.75825,1622120408,52,2021-05-27 20:00:08,2021-05-27 20:00:09
