ts,index_record,heading,lat,lng,positionTime,h_positionTime,h_receiveTime
1622678439803,0,84,20.99894,105.71914,1622678424,2021-06-03 07:00:24,2021-06-03 07:00:39
1622678439803,1,84,20.99894,105.71913,1622678425,2021-06-03 07:00:25,2021-06-03 07:00:39
1622678439803,2,84,20.99892,105.71912,1622678426,2021-06-03 07:00:26,2021-06-03 07:00:39
1622678439803,3,27,20.99892,105.71909,1622678427,2021-06-03 07:00:27,2021-06-03 07:00:39
1622678439803,4,4,20.9989,105.71907,1622678428,2021-06-03 07:00:28,2021-06-03 07:00:39
1622678439803,5,247,20.99889,105.71905,1622678429,2021-06-03 07:00:29,2021-06-03 07:00:39
1622678440159,0,236,20.99887,105.71897,1622678432,2021-06-03 07:00:32,2021-06-03 07:00:40
1622678440159,1,235,20.99885,105.71894,1622678433,2021-06-03 07:00:33,2021-06-03 07:00:40
1622678440159,2,235,20.99883,105.71891,1622678434,2021-06-03 07:00:34,2021-06-03 07:00:40
1622678440159,3,234,20.99881,105.71888,1622678435,2021-06-03 07:00:35,2021-06-03 07:00:40
1622678440159,4,232,20.99879,105.71886,1622678436,2021-06-03 07:00:36,2021-06-03 07:00:40
1622678440159,5,231,20.99877,105.71883,1622678437,2021-06-03 07:00:37,2021-06-03 07:00:40
1622678440159,6,231,20.99875,105.7188,1622678438,2021-06-03 07:00:38,2021-06-03 07:00:40
1622678440159,7,228,20.99873,105.71877,1622678439,2021-06-03 07:00:39,2021-06-03 07:00:40
1622678451858,0,228,20.99871,105.71875,1622678440,2021-06-03 07:00:40,2021-06-03 07:00:51
1622678451858,1,224,20.99868,105.71873,1622678441,2021-06-03 07:00:41,2021-06-03 07:00:51
1622678451858,2,192,20.99866,105.71875,1622678442,2021-06-03 07:00:42,2021-06-03 07:00:51
1622678451858,3,176,20.99864,105.71877,1622678443,2021-06-03 07:00:43,2021-06-03 07:00:51
1622678451858,4,167,20.99867,105.71877,1622678444,2021-06-03 07:00:44,2021-06-03 07:00:51
1622678451858,5,167,20.99866,105.71877,1622678445,2021-06-03 07:00:45,2021-06-03 07:00:51
1622678451858,6,167,20.99866,105.71878,1622678450,2021-06-03 07:00:50,2021-06-03 07:00:51
1622678451858,7,167,20.99866,105.71877,1622678451,2021-06-03 07:00:51,2021-06-03 07:00:51
1622678465868,0,167,20.99866,105.71877,1622678452,2021-06-03 07:00:52,2021-06-03 07:01:05
1622678465868,1,167,20.99866,105.71876,1622678453,2021-06-03 07:00:53,2021-06-03 07:01:05
1622678465868,2,167,20.99866,105.71875,1622678454,2021-06-03 07:00:54,2021-06-03 07:01:05
1622678465868,3,167,20.99867,105.71874,1622678455,2021-06-03 07:00:55,2021-06-03 07:01:05
1622678465868,4,167,20.99868,105.71876,1622678462,2021-06-03 07:01:02,2021-06-03 07:01:05
1622678465868,5,109,20.99869,105.71877,1622678463,2021-06-03 07:01:03,2021-06-03 07:01:05
1622678465868,6,58,20.99871,105.71878,1622678464,2021-06-03 07:01:04,2021-06-03 07:01:05
1622678465868,7,50,20.99873,105.7188,1622678465,2021-06-03 07:01:05,2021-06-03 07:01:05
1622678473910,0,47,20.99874,105.71882,1622678466,2021-06-03 07:01:06,2021-06-03 07:01:13
1622678473910,1,45,20.99876,105.71884,1622678467,2021-06-03 07:01:07,2021-06-03 07:01:13
1622678473910,2,45,20.99879,105.71887,1622678468,2021-06-03 07:01:08,2021-06-03 07:01:13
1622678473910,3,44,20.99882,105.71889,1622678469,2021-06-03 07:01:09,2021-06-03 07:01:13
1622678473910,4,45,20.99884,105.71893,1622678470,2021-06-03 07:01:10,2021-06-03 07:01:13
1622678473910,5,48,20.99886,105.71896,1622678471,2021-06-03 07:01:11,2021-06-03 07:01:13
1622678473910,6,50,20.99888,105.71899,1622678472,2021-06-03 07:01:12,2021-06-03 07:01:13
1622678473910,7,51,20.9989,105.71902,1622678473,2021-06-03 07:01:13,2021-06-03 07:01:13
1622678481876,0,52,20.99892,105.71905,1622678474,2021-06-03 07:01:14,2021-06-03 07:01:21
1622678481876,1,53,20.99894,105.71909,1622678475,2021-06-03 07:01:15,2021-06-03 07:01:21
1622678481876,2,61,20.99894,105.71914,1622678476,2021-06-03 07:01:16,2021-06-03 07:01:21
1622678481876,3,65,20.99896,105.71918,1622678477,2021-06-03 07:01:17,2021-06-03 07:01:21
1622678481876,4,68,20.99897,105.71923,1622678478,2021-06-03 07:01:18,2021-06-03 07:01:21
1622678481876,5,71,20.99898,105.71928,1622678479,2021-06-03 07:01:19,2021-06-03 07:01:21
1622678481876,6,73,20.99899,105.71932,1622678480,2021-06-03 07:01:20,2021-06-03 07:01:21
1622678481876,7,75,20.99899,105.71936,1622678481,2021-06-03 07:01:21,2021-06-03 07:01:21
1622678489891,0,76,20.999,105.71941,1622678482,2021-06-03 07:01:22,2021-06-03 07:01:29
1622678489891,1,84,20.99899,105.71946,1622678483,2021-06-03 07:01:23,2021-06-03 07:01:29
1622678489891,2,86,20.999,105.7195,1622678484,2021-06-03 07:01:24,2021-06-03 07:01:29
1622678489891,3,88,20.999,105.71955,1622678485,2021-06-03 07:01:25,2021-06-03 07:01:29
1622678489891,4,89,20.999,105.7196,1622678486,2021-06-03 07:01:26,2021-06-03 07:01:29
1622678489891,5,92,20.99899,105.71964,1622678487,2021-06-03 07:01:27,2021-06-03 07:01:29
1622678489891,6,93,20.99899,105.71968,1622678488,2021-06-03 07:01:28,2021-06-03 07:01:29
1622678489891,7,95,20.99898,105.71973,1622678489,2021-06-03 07:01:29,2021-06-03 07:01:29
1622678497895,0,98,20.99897,105.71976,1622678490,2021-06-03 07:01:30,2021-06-03 07:01:37
1622678497895,1,104,20.99894,105.71981,1622678491,2021-06-03 07:01:31,2021-06-03 07:01:37
1622678497895,2,111,20.99891,105.71985,1622678492,2021-06-03 07:01:32,2021-06-03 07:01:37
1622678497895,3,122,20.99887,105.71989,1622678493,2021-06-03 07:01:33,2021-06-03 07:01:37
1622678497895,4,128,20.99884,105.71992,1622678494,2021-06-03 07:01:34,2021-06-03 07:01:37
1622678497895,5,132,20.99881,105.71994,1622678495,2021-06-03 07:01:35,2021-06-03 07:01:37
1622678497895,6,135,20.99878,105.71997,1622678496,2021-06-03 07:01:36,2021-06-03 07:01:37
1622678497895,7,138,20.99875,105.71999,1622678497,2021-06-03 07:01:37,2021-06-03 07:01:37
1622678505893,0,139,20.99872,105.72002,1622678498,2021-06-03 07:01:38,2021-06-03 07:01:45
1622678505893,1,140,20.9987,105.72005,1622678499,2021-06-03 07:01:39,2021-06-03 07:01:45
1622678505893,2,140,20.99868,105.72007,1622678500,2021-06-03 07:01:40,2021-06-03 07:01:45
1622678505893,3,128,20.9987,105.72009,1622678501,2021-06-03 07:01:41,2021-06-03 07:01:45
1622678505893,4,114,20.9987,105.72013,1622678502,2021-06-03 07:01:42,2021-06-03 07:01:45
1622678505893,5,106,20.99869,105.72018,1622678503,2021-06-03 07:01:43,2021-06-03 07:01:45
1622678505893,6,94,20.9987,105.72022,1622678504,2021-06-03 07:01:44,2021-06-03 07:01:45
1622678505893,7,87,20.99871,105.72028,1622678505,2021-06-03 07:01:45,2021-06-03 07:01:45
1622678513904,0,82,20.99873,105.72034,1622678506,2021-06-03 07:01:46,2021-06-03 07:01:53
1622678513904,1,80,20.99873,105.7204,1622678507,2021-06-03 07:01:47,2021-06-03 07:01:53
1622678513904,2,79,20.99874,105.72045,1622678508,2021-06-03 07:01:48,2021-06-03 07:01:53
1622678513904,3,80,20.99875,105.72052,1622678509,2021-06-03 07:01:49,2021-06-03 07:01:53
1622678513904,4,80,20.99876,105.72058,1622678510,2021-06-03 07:01:50,2021-06-03 07:01:53
1622678513904,5,80,20.99876,105.72066,1622678511,2021-06-03 07:01:51,2021-06-03 07:01:53
1622678513904,6,86,20.99875,105.72076,1622678512,2021-06-03 07:01:52,2021-06-03 07:01:53
1622678513904,7,88,20.99874,105.72084,1622678513,2021-06-03 07:01:53,2021-06-03 07:01:53
1622678521909,0,89,20.99874,105.72092,1622678514,2021-06-03 07:01:54,2021-06-03 07:02:01
1622678521909,1,91,20.99874,105.721,1622678515,2021-06-03 07:01:55,2021-06-03 07:02:01
1622678521909,2,95,20.99872,105.72108,1622678516,2021-06-03 07:01:56,2021-06-03 07:02:01
1622678521909,3,98,20.99871,105.72116,1622678517,2021-06-03 07:01:57,2021-06-03 07:02:01
1622678521909,4,100,20.99869,105.72124,1622678518,2021-06-03 07:01:58,2021-06-03 07:02:01
1622678521909,5,102,20.99867,105.72131,1622678519,2021-06-03 07:01:59,2021-06-03 07:02:01
1622678521909,6,103,20.99865,105.7214,1622678520,2021-06-03 07:02:00,2021-06-03 07:02:01
